;urls
82;https://www.tokopedia.com/plazakorea/plaza-korea-kimchi-mix-sawi-wortel-lobak-fresh-500-gram-makanan-korea?whid=0
83;https://www.tokopedia.com/dapursakinahku/kimchi-daun-bawang-200gr?src=topads
84;https://www.tokopedia.com/ceunahkeuken/lontong-pre-order?whid=0
85;https://www.tokopedia.com/duniasayuronline/oncom-per-papan?whid=0
86;https://www.tokopedia.com/serasajakarta/mexican-tuna-salad-by-serasa-dengan-tuna?src=topads
87;https://www.tokopedia.com/lilith666/manisan-sanca-koin-haw-flakes-300gr-sanca-koin-manisan-buah-haw?src=topads
88;https://www.tokopedia.com/asinanmamaku/asinan-buah-kekinian?whid=0
89;https://www.tokopedia.com/durianzamannow/promo-pancake-durian-medan-rainbow-isi-21-packaging-plastik-free-rainbow?whid=0
90;https://www.tokopedia.com/dapurmamski/salad-buah-large-750ml-ala-kewpie-mayo-yogurt?whid=0
91;https://www.tokopedia.com/kebunkita/dark-raisin-1kg-kismis?whid=0
92;https://www.tokopedia.com/dapurmamski/salad-buah-1000ml-extra-large-segar?whid=0
93;https://www.tokopedia.com/dapoerkulovers/asinan-jamboi-jambu-kiamboi?whid=0
94;https://www.tokopedia.com/asinanmeremmelek/asinan-lengkeng-mangga?whid=0
95;https://www.tokopedia.com/eidellovadurian/daging-durian-cup?whid=0
96;https://www.tokopedia.com/fruiuitsalad/fruit-salad-salad-buah-ukuran-size-m-400gr?whid=0
97;https://www.tokopedia.com/asahealthyshop/goji-berry-50-gram?whid=0
98;https://www.tokopedia.com/legitsnack/manisan-mangga-putih-kering-asinan-kulit-mangga-150-gram?whid=0
99;https://www.tokopedia.com/kingdurian84/durian-cup?whid=0
100;https://www.tokopedia.com/sayurbox/ijoijo-kitchen-buah-nenas-potong-350-gram-sayurbox?whid=0
101;https://www.tokopedia.com/bgkstore/manisan-buah-tanpa-biji-kiamboy-1?whid=0
102;https://www.tokopedia.com/freshdessert/asinan-bogor-buah-8d4d?src=topads
103;https://www.tokopedia.com/asinanmeremmelek/asinan-mix-mangga-salak-jambu-mutiara?whid=0
104;https://www.tokopedia.com/dapurmamski/salad-buah-300ml-small-buah-segar?whid=0
105;https://www.tokopedia.com/lelaricky/asinan-buah?whid=0
106;https://www.tokopedia.com/saladbuahdelima/salad-buah-de-lima-1500-ml?whid=0
107;https://www.tokopedia.com/ohayo-mart/labi-kulit-jeruk-kering-manisan-jeruk-asinan-jeruk-permen-jeruk-25g?whid=0
108;https://www.tokopedia.com/thingthingshop-1/asinan-mangga-muda-asinan-mangga-muda-best-seller-asinan-kekinian-s-cocol-terasi?src=topads
109;https://www.tokopedia.com/kaisar-burung/asinan-tulang-sotong-ukuran-10-15-cm?whid=0
110;https://www.tokopedia.com/genkiplant/mixed-nut-and-dried-fruit-250g?src=topads
111;https://www.tokopedia.com/duriansiucok-bsd/daging-durian-paket-2-kg-daging-durian?src=topads
112;https://www.tokopedia.com/officialkartika/pisang-bollen-keju-special-besar?src=topads
113;https://www.tokopedia.com/asahealthyshop/goji-berry-50-gram?src=topads
114;https://www.tokopedia.com/jualtiketancol/pia-durian-vietnam-isi-400-gram
115;https://www.tokopedia.com/gadsaonline/pisang-lumer-merk-chuhasa-isi-10-biji
116;https://www.tokopedia.com/bolabolujkt/bolu-jadul-25x25-cm-topping-meses-keju-nougat-keju?src=topads
117;https://www.tokopedia.com/chanpatisserie/brownies-fudgy-dark-chocolate-termurah-box-only?src=topads
118;https://www.tokopedia.com/finsrecipe/kue-ijo-fins-recipe?src=topads
119;https://www.tokopedia.com/finayangkitchen/choipan-chaikue-bengkuang?src=topads
120;https://www.tokopedia.com/sweetwhite/termurah-brownies-panggang-primarasa-original-prima-rasa-bandung-promo-polos?whid=0
121;https://www.tokopedia.com/fudgybro/fudgy-bro-mixed-box-bronie-basic-option?whid=0
122;https://www.tokopedia.com/chanpatisserie/brownies-fudgy-dark-chocolate-termurah-box-only?whid=0
123;https://www.tokopedia.com/mmsnacksbintaro/lapis-talas-bogor-sangkuriang-via-gokilat-only?whid=0
124;https://www.tokopedia.com/bearlybaker/brownies-mix-8-topping-brownies-1?whid=0
125;https://www.tokopedia.com/livanaspikoejkt/cake-seriboe-lapis?whid=0
126;https://www.tokopedia.com/finsrecipe/ongol-ongol-fins-recipe?whid=0
127;https://www.tokopedia.com/gemblongku/gemblong?whid=0
128;https://www.tokopedia.com/kangenrasaoleh2/brownies-prima-rasa-choco-chip?whid=0
129;https://www.tokopedia.com/kangenrasaneoleholeh/bakpia-kukus-tugu-jogja-gratis-bubble-gratis-kardus-brownies-coklat?whid=0
130;https://www.tokopedia.com/bakpiakukusyogyakarta/termurah-bakpia-kukus-tugu-jogja-free-bubble-wrap-ori-strawberry?whid=0
131;https://www.tokopedia.com/mayasarijakarta/mayasari-bolen-2-rasa-coklat-keju?whid=0
132;https://www.tokopedia.com/kangenrasaoleh2/pia-legong-bali-mix-coklat-keju?whid=0
133;https://www.tokopedia.com/lvcakejkt/paket-komplit-lapis-legit-bangka-1-box?whid=0
134;https://www.tokopedia.com/gemblongku/gemblong-isi-15-pcs?whid=0
135;https://www.tokopedia.com/finayangkitchen/choipan-chaikue-bengkuang?whid=0
136;https://www.tokopedia.com/boensbakery/soes-jumbo-besar-varian-rasa-boens-soes-original?whid=0
137;https://www.tokopedia.com/zulaikhacake/pinggiran-kue-lapis-legit-wisman-250-gram?whid=0
138;https://www.tokopedia.com/gitaria/terlaris-pinggiran-kue-lapis-legit-wisman-by-lynn-cake-250-gr-termurah?src=topads
139;https://www.tokopedia.com/amelimkitchen/mooncake-moon-cake-kue-bulan-ame-lim-kotak-ekonomis?whid=0
140;https://www.tokopedia.com/choipansiam91/choipan-bengkoang-e326?whid=0
141;https://www.tokopedia.com/archive-moacigemini/moaci-gemini-rasa-original-isi-10-wijen?whid=0
142;https://www.tokopedia.com/oleholehenakbali/pie-susu-enaaak-original-isi-10?whid=0
143;https://www.tokopedia.com/pelanginaget/risol-bihun-untuk-soto-mie-isi-10?whid=0
144;https://www.tokopedia.com/lovetoshare/bacang-bakcang-ketan-medan-special-samcan-super-enak?src=topads
145;https://www.tokopedia.com/whencake/bolu-gulung-medan-rasa-keju-when-cake-panjang?src=topads
146;https://www.tokopedia.com/bakpiakukustugujogja/bakpia-kukus-tugu-jogja-isi-10-original-brownies-kue-bolu-terlaris-brownies-cokelat?src=topads
147;https://www.tokopedia.com/officialkartika/banana-roll-pandan?src=topads
148;https://www.tokopedia.com/choipansiam91/choipan-khas-pontianak-30pcs-bisa-di-mix?src=topads
149;https://www.tokopedia.com/lesucremacaron/brownies-small-size-9-pc
150;https://www.tokopedia.com/endorphinsid/lotus-biscoff-chocolate-chip-cookies-non-vegan?whid=0
151;https://www.tokopedia.com/importir-253/kue-nastar-enak-kue-nastar-legit-kue-nastar-wangi-nastar-premium?src=topads
152;https://www.tokopedia.com/piaagungbali/pia-bali-durian-enak-pia-agung-bali-harga-promosi?src=topads
153;https://www.tokopedia.com/miraclenight/pia-legong-ori-bali-rasa-mix-coklat-keju?whid=0
154;https://www.tokopedia.com/suruga-ya/bakpia-pathok-25-all-variant-keju?whid=0
155;https://www.tokopedia.com/curate/lemonilo-brownies-crispy-rasa-chocochips-keju-cemilan-diet-sehat-keju?whid=0
156;https://www.tokopedia.com/piaagungbali/pia-bali-durian-enak-pia-agung-bali-harga-promosi?whid=0
157;https://www.tokopedia.com/guguru/paket-kue-kering-special-lebaran-murah-meriah-edisi-kue-florence-florence?whid=0
